,Name,Address,Level,Latitude,Longitude
0,ADMIRALTY SECONDARY SCHOOL,31   WOODLANDS CRESCENT,SECONDARY,1.445890689,103.8023982
1,AHMAD IBRAHIM SECONDARY SCHOOL,751  YISHUN AVENUE 7,SECONDARY,1.436059754,103.8297187
2,ANDERSON SECONDARY SCHOOL,10   ANG MO KIO STREET 53,SECONDARY,1.374340017,103.8515541
3,ANG MO KIO SECONDARY SCHOOL,6    ANG MO KIO STREET 22,SECONDARY,1.367337102,103.842155
4,ANGLICAN HIGH SCHOOL,600  UPPER CHANGI ROAD,SECONDARY,1.331181079,103.9418535
5,ANGLO-CHINESE SCHOOL (BARKER ROAD),60   BARKER ROAD,SECONDARY,1.319616492,103.8357727
6,ASSUMPTION ENGLISH SCHOOL,622  UPPER BUKIT TIMAH ROAD,SECONDARY,1.368381607,103.7666875
7,ASSUMPTION PATHWAY SCHOOL,30   Cashew Road,SECONDARY,1.369670704,103.7659591
8,BARTLEY SECONDARY SCHOOL,10   JALAN BUNGA RAMPAI,SECONDARY,1.339954156,103.8828062
9,BEATTY SECONDARY SCHOOL,1    TOA PAYOH NORTH,SECONDARY,1.341790285,103.8522808
10,BEDOK GREEN SECONDARY SCHOOL,360  BEDOK NORTH AVE 3,SECONDARY,1.334519473,103.9350284
11,BEDOK SOUTH SECONDARY SCHOOL,1    JALAN LANGGAR BEDOK,SECONDARY,1.325136552,103.9509891
12,BEDOK VIEW SECONDARY SCHOOL,6    BEDOK SOUTH AVENUE 3,SECONDARY,1.32415704,103.9437762
13,BENDEMEER SECONDARY SCHOOL,1    ST WILFRED ROAD,SECONDARY,1.324348431,103.8605183
14,BOON LAY SECONDARY SCHOOL,11   JURONG WEST STREET 65,SECONDARY,1.342722163,103.7018915
15,BOWEN SECONDARY SCHOOL,2    LORONG NAPIRI,SECONDARY,1.370359944,103.8776596
16,BROADRICK SECONDARY SCHOOL,61   DAKOTA CRESCENT,SECONDARY,1.307050611,103.8869179
17,BUKIT BATOK SECONDARY SCHOOL,50   BUKIT BATOK WEST AVE 8,SECONDARY,1.348491111,103.7408737
18,BUKIT MERAH SECONDARY SCHOOL,10   LENGKOK BAHRU,SECONDARY,1.285692831,103.8134389
19,BUKIT PANJANG GOVT. HIGH SCHOOL,7    CHOA CHU KANG AVE 4,SECONDARY,1.382242434,103.7383612
20,BUKIT VIEW SECONDARY SCHOOL,16   BUKIT BATOK STREET 21,SECONDARY,1.345733055,103.7522266
21,CANBERRA SECONDARY SCHOOL,51   SEMBAWANG DRIVE,SECONDARY,1.453190863,103.8142036
22,CEDAR GIRLS' SECONDARY SCHOOL,1    CEDAR AVENUE,SECONDARY,1.333758002,103.8739331
23,CHANGKAT CHANGI SECONDARY SCHOOL,23   SIMEI ST 3,SECONDARY,1.339506301,103.9532455
24,CHIJ KATONG CONVENT,346  MARINE TERRACE,SECONDARY,1.30644268,103.9171444
25,CHIJ SECONDARY (TOA PAYOH),626  LORONG 1 TOA PAYOH,SECONDARY,1.332460799,103.8432716
26,CHIJ ST. JOSEPH'S CONVENT,62   SENGKANG EAST WAY,SECONDARY,1.391752223,103.902465
27,CHIJ ST. THERESA'S CONVENT,160  LOWER DELTA ROAD,SECONDARY,1.275351775,103.8224407
28,CHRIST CHURCH SECONDARY SCHOOL,20   WOODLANDS DRIVE 17,SECONDARY,1.426567809,103.7934511
