,Name,Address,Latitude,Longitude
0,Admiralty Blk 581 (DS),Blk 581 Woodlands Dr 16,1.4299743,103.7964053
1,Admiralty Blk 585 (CC),Blk 585 Woodlands Dr 16,1.4293564,103.7954546
2,Admiralty Blk 687B (DS),Blk 687B Woodlands Dr 75,1.4418508,103.8075258
3,Ang Mo Kio-Hougang Blk 452 (DS),Blk 452 Hougang Ave 10,1.3789421,103.8965658
4,Ang Mo Kio-Hougang Blk 535 (DS),Blk 535 Hougang St 52,1.3765439,103.8901954
5,Ang Mo Kio-Hougang Blk 632 (DS),Blk 632 Hougang Ave 8,1.370223,103.880287
6,Ang Mo Kio-Hougang Blk 642 (CC),Blk 642 Hougang Ave 8,1.3716913,103.8800069
7,Ang Mo Kio-Hougang Blk 937 (CC),Blk 937 Hougang St 92,1.3747697,103.8793727
8,Ayer Rajah Blk 275A (CC),Blk 275A Jurong West St 25,1.3524557,103.7021072
9,Ayer Rajah Blk 276D (KN),Blk 276D Jurong West St 25,1.3536146,103.7044599
10,Ayer Rajah Blk 41 (CC),Blk 41 Teban Gardens Road,1.3216011,103.7409092
11,Ayer Rajah Blk 48 (DS),Blk 48 Teban Gardens Road,1.3204891,103.7400859
12,Ayer Rajah Blk 748 (CC),Blk 748 Jurong West St 73,1.3475845,103.6979928
13,Ayer Rajah Blk 750 (KN),Blk 750 Jurong West St 73,1.3480056,103.6992901
14,Bedok Blk 13 (CC),Blk 13 Bedok South Road,1.3200685,103.9365503
15,Bedok Reservoir-Punggol Blk 414 (DS),Blk 414 Hougang Ave 10,1.3749646,103.8960216
16,Bedok Reservoir-Punggol Blk 470C (CC),Blk 470C Upper Serangoon Crescent,1.3786031,103.9009412
17,Bedok Reservoir-Punggol Blk 475C (DS),Blk 475C Upper Serangoon Crescent,1.3754551,103.8999413
18,Bedok Reservoir-Punggol Blk 508 (CC),Blk 508 Hougang Ave 10,1.371436,103.888062
19,Bedok Reservoir-Punggol Blk 713 (DS),Blk 713 Bedok Reservoir Road,1.33745,103.92262
20,Bishan East-Sin Ming Blk 181 (CC),Blk 181 Bishan Street 13,1.3487841,103.8526491
21,Bishan East-Sin Ming Blk 197 (KN),Blk 197 Bishan Street 13,1.3490164,103.850475
22,Bishan East-Sin Ming Blk 409 (CC),Blk 409 Sin Ming Ave,1.3621202,103.8349601
23,Bishan North Blk 231 (DS),Blk 231 Bishan St 23,1.3573145,103.8458667
24,Boon Lay Blk 207 (DS),Blk 207 Boon Lay Place,1.3466404,103.7136298
25,Boon Lay Blk 262 (KN),Blk 262 Boon Lay Dr,1.3453004,103.7073329
26,Boon Lay Blk 627,Blk 627 Jurong West Street 65,1.3419785,103.6989175
27,Boon Lay Blk 631 (KN),Blk 631 Jurong West St 65,1.342599,103.7003457
28,Braddell Heights Blk 246 (CC),Blk 246 Seranggon Avenue 3,1.3519807,103.8695904
29,Braddell Heights Blk 335 (CC),Blk 335 Serangoon Ave 3,1.349583,103.8710966
30,Braddell Heights Blk 417 (DS,Blk 417 Serangoon Central,1.3499348,103.8750535
31,Brickland Blk 489B (CC),Blk 489B Choa Chu Kang Avenue 5,1.3757388,103.7396532
