"tempIndex","carparkNo","lotsAvailable","lotType","ingestionTime","weather","description","temperature","humidity","ingestionDateTime"
0,"A0046",5,"C",1678215600000,"Clear","clear sky",25.06,88,2023-03-08 03:00:00
3,"J0100",21,"C",1.678302e+12,"Clear","clear sky",25.13,90,2023-03-09 03:00:00
5,"M0078",235,"M",1.678302e+12,"Clear","clear sky",25,94,2023-03-09 03:00:00
6,"P0113",0,"M",1678215600000,"Clear","clear sky",25.02,88,2023-03-08 03:00:00
6,"P0113",0,"M",1.678302e+12,"Clear","clear sky",25.17,90,2023-03-09 03:00:00
9,"S0112",372,"M",1.678302e+12,"Clear","clear sky",25,94,2023-03-09 03:00:00
16,"H0022",18,"C",1678215600000,"Clear","clear sky",24.95,88,2023-03-08 03:00:00
16,"H0022",18,"C",1.678212e+12,"Clear","clear sky",24.97,88,2023-03-08 02:00:00
17,"H0024",2,"C",1678215600000,"Clear","clear sky",25.01,88,2023-03-08 03:00:00
17,"H0024",2,"C",1.678212e+12,"Clear","clear sky",25.02,88,2023-03-08 02:00:00
19,"J0100",0,"M",1.678302e+12,"Clear","clear sky",25.13,90,2023-03-09 03:00:00
23,"N0006",10,"C",1.678212e+12,"Clear","clear sky",25.04,88,2023-03-08 02:00:00
25,"P0093",17,"C",1.678302e+12,"Clear","clear sky",25.24,90,2023-03-09 03:00:00
27,"T0129",0,"C",1.678212e+12,"Clear","clear sky",25.09,88,2023-03-08 02:00:00
28,"A0017",86,"C",1.678212e+12,"Clear","clear sky",25.07,88,2023-03-08 02:00:00
29,"A0024",44,"C",1.678212e+12,"Clear","clear sky",24.98,88,2023-03-08 02:00:00
32,"C0133",1,"C",1.678212e+12,"Clear","clear sky",25.02,88,2023-03-08 02:00:00
35,"H0004",82,"C",1.678302e+12,"Clear","clear sky",25.3,91,2023-03-09 03:00:00
42,"M0088",48,"C",1.678302e+12,"Clear","clear sky",25.27,94,2023-03-09 03:00:00
43,"P0054",16,"C",1.678302e+12,"Clear","clear sky",25.17,90,2023-03-09 03:00:00
44,"P0106",25,"C",1.678302e+12,"Clear","clear sky",25.53,91,2023-03-09 03:00:00
53,"H0011",196,"C",1.678302e+12,"Clear","clear sky",25.29,91,2023-03-09 03:00:00
59,"M0078",65,"C",1.678302e+12,"Clear","clear sky",25,94,2023-03-09 03:00:00
63,"O0028",0,"M",1.678212e+12,"Clear","clear sky",25.04,88,2023-03-08 02:00:00
64,"P0013",6,"C",1.678212e+12,"Clear","clear sky",25.08,88,2023-03-08 02:00:00
65,"P0111",6,"C",1.678212e+12,"Clear","clear sky",25.07,88,2023-03-08 02:00:00
67,"W0029",63,"C",1.678302e+12,"Clear","clear sky",25.53,91,2023-03-09 03:00:00
68,"W0055",0,"C",1.678302e+12,"Clear","clear sky",25.2,94,2023-03-09 03:00:00
69,"A0011",7,"C",1678215600000,"Clear","clear sky",25.01,88,2023-03-08 03:00:00
70,"A0021",0,"C",1.678212e+12,"Clear","clear sky",25.08,88,2023-03-08 02:00:00
71,"B0063",94,"C",1.678302e+12,"Clear","clear sky",25.47,92,2023-03-09 03:00:00
80,"P0048",0,"M",1.678212e+12,"Clear","clear sky",25.04,88,2023-03-08 02:00:00
81,"P0096",12,"C",1678215600000,"Clear","clear sky",24.95,88,2023-03-08 03:00:00
81,"P0096",12,"C",1.678212e+12,"Clear","clear sky",24.97,88,2023-03-08 02:00:00
82,"S0112",216,"C",1.678302e+12,"Clear","clear sky",25.13,94,2023-03-09 03:00:00
83,"T0017",17,"C",1678215600000,"Clear","clear sky",25.06,88,2023-03-08 03:00:00
83,"T0017",17,"C",1.678212e+12,"Clear","clear sky",25.06,88,2023-03-08 02:00:00
87,"J0055",88,"C",1.678302e+12,"Clear","clear sky",25.47,92,2023-03-09 03:00:00
88,"L0107",11,"C",1678215600000,"Clear","clear sky",25.06,88,2023-03-08 03:00:00
88,"L0107",11,"C",1.678212e+12,"Clear","clear sky",25.06,88,2023-03-08 02:00:00
89,"L0124",17,"M",1678215600000,"Clear","clear sky",25.07,88,2023-03-08 03:00:00
90,"L0125",50,"C",1678215600000,"Clear","clear sky",25.07,88,2023-03-08 03:00:00
91,"L0125",0,"M",1.678212e+12,"Clear","clear sky",25.08,88,2023-03-08 02:00:00
93,"O0028",19,"C",1.678212e+12,"Clear","clear sky",25.04,88,2023-03-08 02:00:00
94,"P0109",26,"C",1.678212e+12,"Clear","clear sky",25.02,88,2023-03-08 02:00:00
99,"B0032",83,"C",1.678302e+12,"Clear","clear sky",25.44,92,2023-03-09 03:00:00
100,"B0087",0,"C",1.678212e+12,"Clear","clear sky",25.07,88,2023-03-08 02:00:00
105,"L0123",38,"C",1.678212e+12,"Clear","clear sky",25.06,88,2023-03-08 02:00:00
106,"L0124",0,"C",1678215600000,"Clear","clear sky",25.07,88,2023-03-08 03:00:00
107,"P0054",0,"M",1.678302e+12,"Clear","clear sky",25.29,90,2023-03-09 03:00:00
108,"P0094",0,"M",1.678302e+12,"Clear","clear sky",25.17,90,2023-03-09 03:00:00
109,"P0113",45,"C",1.678302e+12,"Clear","clear sky",25.29,90,2023-03-09 03:00:00
110,"Q0008",42,"C",1.678302e+12,"Clear","clear sky",25.22,94,2023-03-09 03:00:00
112,"S0150",4,"C",1.678212e+12,"Clear","clear sky",25.07,88,2023-03-08 02:00:00
115,"D0028",155,"C",1678215600000,"Clear","clear sky",25.06,88,2023-03-08 03:00:00
115,"D0028",155,"C",1.678212e+12,"Clear","clear sky",25.06,88,2023-03-08 02:00:00
