carparkNo,weekdayRate,lotType,satdayRate,sunPHRate,startTime,totalCapacity,endTime
S0055,0.75,C,0.75,0.75,07.00 AM,105,02.00 PM
A0011,1.4,C,1.4,0.6,11.00 AM,45,02.00 PM
C0133,1.5,C,1.5,0.6,11.00 AM,69,02.00 PM
B0032,0.7,C,0.7,0.7,11.00 AM,117,02.00 PM
A0028,0.6,C,0.6,0,08.30 AM,19,05.00 PM
A0034,0.6,C,0.6,0,08.30 AM,12,05.00 PM
B0001,0.6,C,0.6,0,08.30 AM,11,05.00 PM
B0001,0.65,M,0.65,0,08.30 AM,5,05.00 PM
B0042,0.6,C,0.6,0,08.30 AM,14,05.00 PM
B0067,0.6,C,0.6,0,08.30 AM,15,05.00 PM
B0090,0.6,C,0.6,0,08.30 AM,48,05.00 PM
BL001,0.65,M,0.65,0,08.30 AM,5,05.00 PM
BL011,0.65,M,0.65,0,08.30 AM,43,05.00 PM
BL046,0.65,M,0.65,0,08.30 AM,9,05.00 PM
C0039,0.6,C,0.6,0,08.30 AM,10,05.00 PM
C0041,0.6,C,0.6,0,08.30 AM,53,05.00 PM
C0045,0.6,C,0.6,0,08.30 AM,29,05.00 PM
C0053,0.6,C,0.6,0,08.30 AM,12,05.00 PM
C0057,0.6,C,0.6,0,08.30 AM,10,05.00 PM
C0120,0.6,C,0.6,0,08.30 AM,18,05.00 PM
C0126,0.6,C,0.6,0,08.30 AM,12,05.00 PM
C0126,0.65,M,0.65,0,08.30 AM,18,05.00 PM
C0128,0.6,C,0.6,0,08.30 AM,28,05.00 PM
C0128,0.65,M,0.65,0,08.30 AM,12,05.00 PM
C0129,0.6,C,0.6,0,08.30 AM,58,05.00 PM
C0129,0.65,M,0.65,0,08.30 AM,4,05.00 PM
C0130,0.6,C,0.6,0,08.30 AM,77,05.00 PM
C0130,0.65,M,0.65,0,08.30 AM,20,05.00 PM
C0151,0.6,C,0.6,0,08.30 AM,62,05.00 PM
